frame,event,state,enabled,acquisition,memory_remaining,stable_count,lost_count,normalized_x,normalized_y,target_x,target_y,error_x,error_y,screen_x,screen_y,raw_x,raw_y,acquired_signal,aligned_x,aligned_y,aligned,command_x,command_y,error_velocity_x,error_velocity_y
5193,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5194,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5195,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5196,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5197,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5198,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5199,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5200,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5201,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5202,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
5203,SAMPLE,IDLE,false,0,0,0,0,0.0,-0.069813169538975,0.0,-0.07,0.0,0.00018683046102524,160.0,120.0,0.0,0.0,false,true,true,true,0,0,0.0,0.0
